NR_index,sentence,TSR_index
82.0,"He played Cyrano yet again in the French movie, Cyrano et D'Artagnan.",
22.0,He played William Barrett Travis in a movie about the Alamo called Thirteen Days of Glory.,
298.0,He played a snobby bully opposite Mickey Rooney.,
302.0,He played college football for Alabama and was a teammate of legendary coach Bear Bryant.,
103.0,He predicted in America's Economic Supremacy (1900) that New York would become the world trade center.,
,He published his autobiography in 1913.,157.0
55.0,"He put up even more impressive numbers in his last season (3,819 yards, 36 touchdowns) and finished second in Heisman Trophy voting to The University of Michigan's Charles Woodson, although he was unable to beat arch rival University of Florida for the fourth consecutive time.",
,He received his BA in Economics from Tulane University and his MBA from Tulane in 1979.,110.0
278.0,He received his bachelor's degree in 1965 and master's degree in political science in 1966 both from the University of Wyoming.,
341.0,He regularly delivers speeches in both English and Spanish due to the large number of Spanish speaking residents of Florida.,
,"He represented Maryland in the Continental Congress, and in the federal Congress as both the Representative and a U.S. Senator.",232.0
,"He returned to the United States and graduated from Franklin and Marshall College in Lancaster, Pennsylvania, where he was active in drama.",69.0
,He served as an F-102 pilot until 1972.,327.0
,"He served as the Governor of California from January 2, 1939 until January 4, 1943, and was the only Democrat elected to that office between 1898 and 1954.",35.0
269.0,"He served in the United States Army in World War II, then got a law degree from Tulane University.",78.0
,He served in the United States Senate as a Republican from Minnesota.,24.0
,"He served not only as the band's frontman, but as its 'leader and spiritual center'.",239.0
53.0,He shared the honor with Tennessee Titans quarterback Steve McNair.,
256.0,"He soon recorded Desireless, and it became a hit across Scandinavia and the rest of Europe, and an American release came in 1998.",
142.0,"He spends a great deal of his time at Moe's Tavern with his lifelong friends Barney, Carl, Lenny, and bartender Moe.",
215.0,"He started writing his first novel, called The Town and the City.",
,He studied at Juilliard and later at the Manhattan School of Music.,76.0
,He studied law at Columbia University in New York City but his education was interrupted by service with the United States Navy in World War II during which he served with American amphibious forces in Europe and North Africa.,70.0
338.0,"He then enrolled at Phillips Andover, a private boarding school in Massachusetts already attended by his brother George.",103.0
,He then went on to attend and subsequently drop out of Georgetown University Law Center (1957).,90.0
333.0,"He took a job in real estate with Armando Codina, a 32-year-old Cuban immigrant and self-made American millionaire.",
62.0,He ultimately sank into a condition of mental stupor.,
281.0,He was United States Secretary of Defense from 1987 until 1989.,
,He was a founder of the American Arithmometer Company.,377.0
,He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,374.0
285.0,He was a naval officer from 1952-54.,
203.0,"He was a radio announcer as an affiliate of the Chicago Cubs baseball games, getting only the bare outlines of the game from a ticker and relying on his imagination and storytelling gifts to flesh out the game.",
145.0,"He was also the father of 3 children, including actress Drew Barrymore.",
,"He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.",0.0
123.0,"He was an African-American jazz trumpeter, bandleader, singer, and composer.",191.0
123.0,"He was an African-American jazz trumpeter, bandleader, singer, and composer.",310.0
,"He was born in Cambridge, and educated at Stowe School and Trinity College, Cambridge.",55.0
,"He was born in Montpelier, Vermont, attended Norwich University for two years (1852-1854), and graduated from the Naval Academy in 1858.",64.0
323.0,"He was born in Overisel, Michigan.",
,He was born into a family of Swedish nobility.,53.0
,He was buried at the foot of Hill Cemetery.,1.0
260.0,"He was campaign manager for Ford's 1976 presidential campaign, while James Baker served as campaign chairman.",
148.0,"He was cremated, and the ashes were interred in the Eden Memorial Park Cemetery in Mission Hills, Los Angeles, California.",
212.0,"He was drafted by the San Jose Earthquakes in the third round of the 2005 MLS SuperDraft, but opted to not show up for camp, instead signing with the nearby Sounders.",
,He was educated at Boston Latin School before attending Boston College.,86.0
,"He was educated at Harrow, and in 1869 entered the 83rd Foot.",57.0
88.0,He was educated at Skipton primary school and Ballarat Grammar: he was the last Victorian Premier not to have a university education.,
,He was educated in Carlanstown NS and in St. Patrick's Classical School in Navan.,72.0
,He was elected to the Bulgarian national assembly in 1913 and 1920.,383.0
,"He was first elected to the state legislature in 1811 and served as a colonel of volunteers in the Creek War, and was then elected to the United States House of Representatives.",208.0
191.0,"He was honorably discharged in early 1945, just a few months before the Japanese surrendered.",
304.0,"He was inducted into the College Football Hall of Fame, the South Carolina Sports Hall of Fame, and the Clemson Ring of Honor.",
19.0,He was married to actress Kim Basinger from 1993 to 2002.,122.0
209.0,He was named a first team All-American in his junior and senior seasons.,
327.0,"He was noted for his lyrical playing, and performed with John Coltrane, Dexter Gordon, Hampton Hawes, Jackie McLean, and Ike and Tina Turner, among others.",
,He was one of the founder members of the Lunar Society.,385.0
,"He was previously a star college player at Ole Miss from 1968-1970; in his junior season he finished fourth in the voting for the Heisman Trophy, and in his senior season he finished third.",75.0
192.0,"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",
318.0,"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",
284.0,He was reportedly less hard-line in policies toward the Soviet Union than Weinberger.,
151.0,"He was the best-known of modern Brazilian writers, with his work translated into some 30 languages and popularized in film, notably Dona Flor and her Two Husbands in 1978.",
,He was the founder and first president of the Naval War College between 1884 and 1886.,387.0
61.0,"He was the son of Frederick V, King of Denmark, and his first consort Louisa, daughter of George II of Great Britain.",
293.0,He was the victim of sexual abuse several times in childhood.,
106.0,He was the younger brother of actors Lionel and Ethel Barrymore and the grandfather of Drew Barrymore.,
308.0,He was the youngest president ever elected and the only Roman Catholic president.,
282.0,"He was undersecretary of Health, Education and Welfare when Weinberger was secretary during the Nixon administration.",
98.0,"He was, for a short time, a commentator opposite Bill Clinton on CBS's 60 Minutes.",36.0
,He went to school in England and graduated from Harvard University.,95.0
,"He worked a year for the accounting firm of Price Waterhouse in San Francisco, and then in August 1940 returned to Harvard to teach in the Business School.",253.0
,"Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.",9.0
,"Henry Ford (July 30, 1863 - April 7, 1947) was the founder of the Henry Ford Motor Company which later became Cadillac and Ford Motor Company.",352.0
12.0,Henry Ford advocated long-time associate Harry Bennett to take the spot.,
,"Henry Ford, with eleven other investors and $28,000 in capital, incorporated the Ford Motor Company in 1903.",353.0
0.0,"Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.",354.0
,Hepburn became the talk of New York City and began getting noticed by Hollywood.,206.0
,"Hepburn was devastated by his death, and for years used his birthday as her own.",231.0
,"Hepburn was fired from this role as well, though she was eventually rehired when the director could not find anyone to replace her.",305.0
,"Hepburn's father was a staunch proponent of publicizing the dangers of venereal disease in a time when such things were not discussed, and her mother campaigned for birth control and equal rights for women.",186.0
137.0,"Her disapproving mother, Jacqueline, lives on but is rarely seen.",
,"Her family denied that it was self-inflicted, arguing that he had been a happy boy; rather, they insisted that it must have been an experimentation gone awry.",225.0
136.0,"Her father, a former flight attendant (air steward), is deceased, although when or how this occurred has not been explained.",
,"Her first movie appearance was in the Columbia Pictures comedy Shampoo (1975) starring Warren Beatty, Julie Christie, and Goldie Hawn, with Lee Grant, and Jack Warden.",286.0
132.0,"Her most notable physical feature is her blue hair, styled into an improbably high beehive.",
,"Her mother was a Lyman, another very old American family.",388.0
174.0,"Her position was a difficult one, as Charles continued to have children by his mistresses, but he insisted that she be treated with respect, and refused to divorce her.",
140.0,"His behaviour is often oafish, clumsy, and insensitive, but he still remains lovable.",
242.0,His brother and the Courant's readers did not initially know the real author.,
243.0,His brother was not impressed when he discovered his popular correspondent was his younger brother.,
111.0,"His dying words were 'Die? I should say not, dear fellow'.",
,"His father was a New York City philanthropist, merchant, and partner in the glass-importing firm Roosevelt and Son.",111.0
239.0,"His father, Josiah Franklin, was a tallow chandler, a maker of candles, who married twice.",
,"His father, Richert Vogt von Koch (1838-1913) was a Lieutenant-Colonel in the Royal Horse Guards of Sweden.",61.0
187.0,"His father, a tanner, and his mother were born in Pennsylvania.",25.0
,His gift of $5 million dollars helped found the Great Smoky Mountains National Park.,360.0
,"His grandfather, also named William Seward Burroughs, founded the Burroughs Adding Machine company, which evolved into the Burroughs Corporation.",365.0
,"His interest in music came early on, possibly a result of his family's general interest in music.",273.0
,"His long academic career included 37 years at the University of Wales, Swansea, between 1945 and 1982, and ten as vice-president of the University College of Wales, Aberystwyth.",56.0
198.0,"His maternal great-grandfather, John Wilson, immigrated to the United States from Paisley, Scotland in the early 1800s.",
56.0,"His mother Jacqueline Kennedy was married to Greek shipping tycoon Aristotle Onassis from 1968 until Onassis's death in 1975, when John was 14 years old.",
,"His mother noted that his personality changed dramatically, with Cobain becoming more withdrawn.",257.0
236.0,"His mother, Abiah Folger, was born in Nantucket, Massachusetts on August 15, 1667, to Peter Folger, a miller and schoolteacher, and his wife Mary Morrill a former indentured servant.",
85.0,His nephew is the actor Jack Davenport.,
163.0,His nickname is Johnny B. Goode.,
146.0,"His parents divorced when John was around 6 years old in 1935, but he claimed (most likely fallaciously) to have met his father only once.",
217.0,"His parents, Leo-Alcide Kerouac and Gabrielle-Ange Lévesque, were natives of the province of Quebec in Canada.",
196.0,"His paternal great-grandfather, Michael Reagan, immigrated to the United States from Ballyporeen, County Tipperary, Ireland in the 1860s.",
199.0,"His presidency was marked by new economic policies, dubbed Reaganomics and a confrontational foreign policy towards the Soviet Union and Socialist movements around the world.",
240.0,"His schooling ended at ten and at 12 he became an apprentice to his brother James, a printer who published the New England Courant.",
231.0,His wife is Barbara Bush.,125.0
207.0,"Hodgkin and Huxley shared the prize that year with John Carew Eccles, who was cited for research on synapses.",
208.0,"Hodgkin and Huxley's findings led the pair to hypothesize ion channels, which were confirmed only decades later.",
305.0,"Howard was born at Barlow Bend, Alabama (""three wagon greasin's from Mobile"").",
261.0,"However, a police arrest card similar to the one that haunted President George W. Bush and maintained by the Rock Springs Police Department shows that Cheney was fined $100 for his second DWI conviction.",
54.0,"However, he posted the third lowest passer rating of his career - 35.5 - in the AFC title game against the New England Patriots, throwing four interceptions in a 24-14 loss.",
230.0,"However, he was not satisfied by the immediate prospects.",
67.0,"However, it is widely believed that Louise was the daughter of Struensee - portrait comparisons have supported this.",
320.0,"However, the U.S. Navy accepted him in September of that year.",
193.0,"However, the U.S. Navy accepted him in September of that year.",
,"I. Lewis Scooter"" Libby Jr. (born August 22, 1950) is the former Chief of Staff and assistant for National Security Affairs to U.S. Vice President Dick Cheney and presidential advisor.""",211.0
,"In 1736 he created the Union Fire Company, the first volunteer firefighting company in America.",350.0
126.0,"In 1814, he was commissioned a lieutenant of engineers in the United States Army.",
,"In 1825 Darwin went to Edinburgh University to study medicine, but his revulsion at the brutality of surgery led him to neglect his medical studies.",51.0
,"In 1827, his father, unhappy that his younger son would not become a physician, enrolled him in a Bachelor of Arts course at Christ's College, University of Cambridge, which would qualify him to be a clergyman.",54.0
,"In 1867, his brother's company, Rockefeller & Andrews, absorbed this refinery, and in 1870, the company became Standard Oil.",380.0
,"In 1870 the two Rockefellers, Andrews, Flagler, and a silent partner, Stephen V. Harkness, formed the Standard Oil Company, with John D. Rockefeller as president.",362.0
165.0,"In 1874, at the age of 23, Gifford was a Lieutenant in the 2nd Battalion, 24th Foot (later the South Wales Borderers), British Army during the First Ashanti Expedition, when the following deed took place for which he was awarded the Victoria Cross:",
14.0,"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",
5.0,"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",
,"In 1896, Baker joined the staff of McClure's, a pioneer muckraking magazine, and quickly rose to prominence along with Lincoln Steffens and Ida Tarbell.",256.0
,"In 1908 he took a job with the prestigious Wall Street firm of Carter, Ledyard and Milburn, dealing mainly with corporate law.",262.0
257.0,"In 1912, his interests developed into using his mathematical skills assisting Henry Moseley on X-ray diffraction.",
,"In 1920, he was nominated Vice President under Warren G.Harding.",203.0
324.0,In 1923 he was awarded the inaugural Bôcher Memorial Prize by the American Mathematical Society.,
,"In 1926, King started his ministerial degree at the Morehouse School of Religion.",60.0
,"In 1934, Banister joined the Federal Bureau of Investigation (FBI).",289.0
,In 1937 he inherited his grandfather's seat on the New York Stock Exchange.,264.0
30.0,In 1945 the Clooney sisters won a spot on Cincinnati's radio station WLW as singers.,272.0
317.0,"In 1946, Representative James Michael Curley vacated his seat in an overwhelmingly Democratic district to become mayor of Boston and Kennedy ran for that seat, beating his Republican opponent by a large margin.",
81.0,In 1950 Ferrer won an Academy Award for his portrayal of Cyrano de Bergerac in the 1950 film of that name.,
26.0,"In 1954 she, along with Bing Crosby, Danny Kaye, and Vera-Ellen, starred in the movie White Christmas.",
75.0,In 1955 Ferrer directed himself in The Shrike.,
77.0,In 1958 Ferrer appeared in I Accuse!,
32.0,"In 1958, Clooney left Columbia, doing a number of recordings for MGM Records and then some for Coral Records.",274.0
315.0,"In 1958, Kennedy published the first edition of his book A Nation of Immigrants, closely following his involvement in the Displaced Persons Act and the 1957 bill to bring families together.",
,"In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.",2.0
124.0,"In 1962, Clampett created an animated version of the show called Beany and Cecil, which ran on ABC for five years.",240.0
34.0,"In 1964 she went to Reprise again, shifting the next year to Dot Records.",276.0
112.0,"In 1964 she went to Reprise again, shifting the next year to Dot Records.",276.0
35.0,In 1966 she went to United Artists Records.,277.0
,"In 1969, Rodham entered Yale Law School where she served on the Board of Editors of Yale Review of Law and Social Action and worked with underprivileged children at the Yale-New Haven Hospital.",100.0
,"In 1976, Hillary Rodham joined the venerable and influential Rose Law Firm, specializing in intellectual property cases while doing child advocacy cases pro bono.",279.0
36.0,"In 1986 she sang a duet with Wild Man Fischer on ""It's a Hard Business"".",
210.0,"In 1986, Schwarzenegger married TV journalist Maria Shriver, niece of the late President of the United States John F. Kennedy.",120.0
,"In 1988 he was named Minister of the Environment, and in 1990 founded the Green Party G�n�ration Ecologie.",372.0
249.0,"In 1990, he wrote Fighting for Peace, an account of his Pentagon years; in 1996, Weinberger co-authored a book entitled The Next War, which raised questions about the adequacy of U.S. military capabilities following the end of the Cold War.",
,"In 1997, Coppola founded Zoetrope All-Story, a flashy literary magazine that publishes short stories.",371.0
23.0,"In 1998, he began narrating the American version of the children's series Thomas the Tank Engine and Friends.",
,"In 1999 Bush cofounded a educational-software company, Ignite!, which uses multiple intelligence methods to provide varying types of content to appeal to multiple learning styles.",389.0
127.0,"In March 1819 he married Martha Hodgkins of Philadelphia, Pennsylvania.",
343.0,"In November 1977 he was sent to the Venezuelan capital of Caracas, in South America, to open a new operation for the bank.",
102.0,"In The Law of Civilisation and Decay (1895), Adams noted that as new population centers emerged in the west, centers of world trade shifted from Constantinople to Venice to Amsterdam to London.",
,"In addition to featuring in these epochal moments in jazz, he was instrumental in founding Afro-Cuban jazz.",378.0
,"In addition, he helped advance the study of anatomy, astronomy, and civil engineering.",179.0
87.0,"In his later years he became known as the last Australian politician to advocate, and use, capital punishment.",
21.0,"In particular, Baldwin is one of the most frequent hosts of Saturday Night Live, leading the show eleven times and also making cameo appearances regularly.",
,"In retrospect, many now view Gore as a helpful factor in the 1992 campaign.",10.0
168.0,"In the 1970s, Arista also had an extensive jazz line, most notably its Freedom imprint, concentrating on contemporary, sometimes avant-garde, musicians and widely praised reissues from the legendary Savoy label.",
,"In the 40s, Gillespie led the movement called Afro-Cuban music, bringing Latin and African elements to greater prominence in jazz and even pop music, particularly salsa.",379.0
,"In the Senate, he was aligned with the Federalists.",39.0
,"In the mid to late 1930s, she made many recordings with her husband Red Norvo.",138.0
319.0,"In the spring of 1941, Kennedy volunteered for the U.S. Army, but was rejected, mainly because of his troublesome back.",
8.0,"In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",
,"In this year Encke married Amalie Becker (1787–1879), daughter of a bookseller.",126.0
152.0,"In this year, he released his first book, O País do Carnaval.",
,"In true Hepburn fashion, she demanded an outlandish $1,500 per week for film work (at the time she was earning between $80 and $100 per week).",301.0
291.0,It was in Good News (1947) that Lawford won his greatest acclaim as an actor.,
,"It was once mentioned, by Homer, that she actually dyes her hair blue, as she's been ""gray as a mule since seventeen"".",134.0
133.0,"It was once mentioned, by Homer, that she actually dyes her hair blue, as she's been gray as a mule since seventeen.",
216.0,It was published in 1950 and earned him some respect as a writer.,361.0
219.0,Jack didn't start to learn English until the age of six.,366.0
166.0,"James Arlington Wright (December 3, 1927 - March 25, 1980), was an American poet and writer.",212.0
,"James Douglas McKay (June 24, 1893 - July 22, 1959) born in Portland, Oregon, was a Republican from Oregon.",34.0
,"James Tully (18 September 1915 - 20 May 1992) was a prominent Irish trade unionist, politician and Deputy Leader of the Irish Labour Party who served as a minister in a series of Irish Fine Gael-Labour coalition governments.",309.0
,"Janet Flanner (March 13, 1892 - November 7, 1978) was a child of Quakers, an American writer and journalist who served as the Paris correspondent of The New Yorker magazine from its inception in 1925 until she retired in 1975.",209.0
,"Janet Flanner (March 13, 1892 - November 7, 1978) was a child of Quakers, an American writer and journalist who served as the Paris correspondent of The New Yorker magazine from its inception in 1925 until she retired in 1975.",247.0
,"Jason Schwartzman (born June 26, 1980) is an American actor.",336.0
348.0,"Jeb Bush was born in Midland, Texas, where his father was running an oil drilling company.",
,"Joely Fisher (born October 29, 1967) is an American actress.",331.0
,"Johann Franz Encke (September 23, 1791 – August 26, 1865) was a German astronomer, born in Hamburg.",233.0
,"Johann Franz Encke (September 23, 1791 – August 26, 1865) was a German astronomer, born in Hamburg.",342.0
,"John (Calvin) Coolidge (July 4, 1872 - January 5, 1933) was the 30th President of the United States between 1923 to 1929.",200.0
,"John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.",3.0
,"John Davison Rockefeller (July 8, 1839 ? May 23, 1937) was an American capitalist most known for his role in the early petroleum industry and the founding of Standard Oil (ExxonMobil is the largest of its descendants).",358.0
329.0,"John Ellis ""Jeb"" Bush (born February 11, 1953), a Republican, is the forty-third and current Governor of Florida.",42.0
307.0,"John Fitzgerald Kennedy (May 29, 1917 - November 22, 1963), also known as JFK, was the 35th president of the United States of America.",
306.0,"John Fitzgerald Kennedy (May 29, 1917 - November 22, 1963), often referred to as Jack Kennedy or JFK, was the 35th President of the United States.",
,"John Francis 'Honey Fitz' Fitzgerald (February 11, 1863–October 2, 1950) was a politician and the grandfather of President John F. Kennedy.",222.0
,"John Snow was born in Toledo, Ohio, on August 2, 1939, and studied at Kenyon College and the University of Toledo, from where he graduated in 1962.",48.0
147.0,"John ran away at age 17 and signed a film contract, but he repeatedly abandoned leading roles and had no major film career.",
161.0,Jon is known in the NBA because of the courage and determination he shows on defense and in the clutch time.,
,"Joseph Forney Johnston (March 23, 1843 - August 8, 1913) was an American Democratic politician who was the Governor of Alabama from 1896 to 1900.",31.0
,"Joseph was born in Boston, the son of Patrick J. Kennedy, a successful businessman and Irish Catholic community leader.",320.0
,"Juan Bautista Alberdi (29 August 1810 - 19 June 1884) was a political theorist and diplomat, born in San Miguel de Tucumán, province of Tucumán, Argentina.",197.0
,"Just before the Battle of Fredericksburg, he was promoted to chief of artillery of the VI Corps as a brigadier general, as of November 29, 1862.",220.0
,"Katharine Houghton Hepburn (May 12, 1907 – June 29, 2003) was an iconic star of American film, television and stage, widely recognized for her sharp wit, New England gentility and fierce independence.",303.0
309.0,"Kennedy is also the only Roman Catholic ever to become President, the first president to serve who was born in the 20th century, the last to die while still in office, the last Democrat from the North to be elected, and the last to be elected while serving in the U.S. Senate.",
311.0,"Kennedy married his second wife Jacqueline Bouvier on September 12, 1953.",
188.0,Kennedy was a member of the prominent Kennedy political family.,
314.0,"Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.",
214.0,"Kerouac's spontaneous, confessional language style inspired other writers, including Tom Robbins, Richard Brautigan, Hunter S. Thompson, Ken Kesey, and Bob Dylan.",
,"King Jr. became an associate pastor at Ebenezer in 1948, and his father wrote a letter of recommendation for him to Crozer College.",59.0
211.0,"Klaas finished his career at Washington having played in 69 games, scoring ten goals and 21 assists.",
,Koldewey was a self-trained classical era archaeological historian.,41.0
,"Krist Anthony Novoselic (born May 16, 1965, Compton, California) is an American rock musician best known for being the bassist for Nirvana.",349.0
,"Kristen Pfaff (May 26, 1967 - June 15, 1994) was a bass guitarist, best known for her work with Hole.",234.0
,"Kristen was a very talented musician and songwriter, and her superb bass playing was one reason for the success of Hole's 1994 album Live Through This.",235.0
,"Kurt Donald Cobain (February 20, 1967 – ca. April 5, 1994) was the lead singer and guitarist of the American rock band, Nirvana.",304.0
,"Laurance Spelman Rockefeller (May 26, 1910 – July 11, 2004) was a financier, philanthropist, and conservationist.",229.0
177.0,Laurance married Mary French in 1934.,123.0
290.0,Lawford also made his first comedy that same year My Brother Talks To Horses (1947).,
289.0,Lawford later admitted the most terrifying experience of his career was the first musical number he performed.,
297.0,Lawford's first major movie role was A Yank At Eton (1942).,
,"Lee De Forest, (August 26, 1873 – June 30, 1961) was an American inventor with over 300 patents to his name.",326.0
,"Leonardo da Vinci (April 15, 1452 – May 2, 1519) was an Italian Renaissance architect, musician, anatomist, inventor, engineer, sculptor, geometer, and painter.",302.0
,Libby started his government career in the State Department in 1981 under President Ronald Reagan.,248.0
,Libby was a founding member of the Project for the New American Century.,382.0
218.0,"Like many other Quebecers of their generation, the Lévesques and Kerouacs were part of the Quebec emigration to New England to find employment.",
,Lincoln was the first Republican president.,26.0
,"Lisa Marie Presley (born February 1, 1968 in Memphis, Tennessee) is an American singer, daughter of the singer Elvis Presley and his wife Priscilla Beaulieu.",194.0
,"Lisa Marie Presley (born February 1, 1968 in Memphis, Tennessee) is an American singer, daughter of the singer Elvis Presley and his wife Priscilla Beaulieu.",312.0
,"Lovett declined but recommended McNamara; Kennedy had him approached by Sargent Shriver (regarding either the Treasury or the Defense cabinet post), and less than five weeks after becoming president at Ford, McNamara accepted Kennedy's invitation to serve as Secretary of Defense.",218.0
,"Lyman Enos Knapp (November 5, 1837?October 9, 1904) was an American Republican politician who was the Governor of the District of Alaska from 1889 to 1893.",44.0
51.0,Manning's Passer Rating in the Colts' playoff games against the Broncos and Kansas City Chiefs was a perfect 158.3.,
,"Maria Owings Shriver Schwarzenegger (born November 6, 1955), better known as Maria Shriver, is an American television journalist and the First Lady of California.",307.0
,"Maria Shriver married the actor Arnold Schwarzenegger on April 26, 1986.",149.0
,"Married to Almira Geraldine Goodsell, he built up the National City Bank of New York, and his son William Goodsell Rockefeller and Elsie Stillman, daughter of National City Bank president James Stillman, were the parents of James Stillman Rockefeller.",381.0
153.0,"Marvin Pierce Bush (born October 22, 1956) is the youngest son of George H. W. Bush and Barbara Pierce, and brother of George W., John (Jeb), Neil and Dorothy.",
,"Mary Ford (July 7, 1928-September 30, 1977, original name Iris Colleen Summers) was half of a husband-wife musical duo; the other half being Les Paul.",170.0
,"Mary Lilian Baels (November 28, 1916 – June 7, 2002) was best known as Princess de Réthy, the controversial morganatic second wife of King Léopold III of the Belgians.",136.0
271.0,"Mary is one of her father's top campaign aides and closest confidantes and lives in Denver, Colorado.",
37.0,"Michael McManus (born February 5, 1959) is a syndicated columnist who wrote Ethics & Religion.",
,"Michel Goulet (born April 21, 1960 in Peribonka, Quebec) was a Canadian professional ice hockey forward who played for the Quebec Nordiques and Chicago Blackhawks in the National Hockey League.",183.0
,"Miguel Ferrer (born February 7, 1955 in Santa Monica, California) is a Puerto Rican-American actor who is often cast in movies as a villain.",198.0
,"Miguel Ferrer (born February 7, 1955 in Santa Monica, California) is a Puerto Rican-American actor who is often cast in movies as a villain.",315.0
,Miguel played the role of Dr. Garret Macy in NBC's drama Crossing Jordan.,244.0
252.0,"Mildred was the sister of Al Rinker, who also sang with Paul Whiteman.",
,"Mrs. Roosevelt was active in the formations of numerous institutions, most notably the United Nations, United Nations Association and Freedom House.",367.0
,"Newton Cannon (May 22, 1781 - September 16, 1841) was Governor of the U.S. State of Tennessee from 1835 to 1839.",205.0
,"Nicolas Cage (born January 7, 1964) is an American actor.",213.0
,"Niels Fabian Helge von Koch (January 25, 1870 - March 11, 1924) was a Swedish mathematician, who gave his name to the famous fractal known as the Koch curve, which was one of the earliest fractal curves to have been described.",297.0
113.0,No Barrymore would allow such a conventional thing to happen to him.,
139.0,None of the other Bouvier family members approves of Marge's marriage to Homer.,
89.0,"On 2005-04-12, Bob Dole released his biography One Soldier's Story: A Memoir (ISBN 0060763418), which talks of his World War II experiences and his battle to survive his war injuries.",
,"On August 10, 2002 she married Nicolas Cage, someone well-known for his Elvis-obsession.",151.0
38.0,"On January 28, 2005 it was revealed that he accepted money from the George W. Bush administration to promote their marriage initiative program, which he did not disclose to his readers.",
,"On May 23, 1953, she married Robert Sargent Shriver, Jr., who was U.S. ambassador to France from 1968 to 1970, and was Democratic vice-presidential candidate in 1972.",154.0
280.0,"On October 28, Libby was indicted on five felony counts.",
,Once a very young Katharine Hepburn even accompanied her mother to a suffrage rally.,192.0
204.0,"Once in 1934, during the ninth inning of a Cubs-St. Louis Cardinals game, the wire went dead.",
264.0,"One of his first known ancestors was Ralph de Chesney, Sire of Quesnay who fought on the side of William the Conqueror in the Battle of Hastings in 1066.",
115.0,Other accounts of this classic Hollywood tale substitute actor Peter Lorre in the place of Walsh.,
141.0,Over the years he has become one of the notable dads in television and the possible template for most bumbling albeit well-meaning fathers.,
300.0,"Page recorded several live comedy albums for the Laff Records label in the late 1960's and early 1970's; One release, Watch It Sucker!, was titled after Aunt Esther's catchphrase to cash in on her newfound TV fame.",
63.0,"Patti was born Adela Juana Maria Patti to Italian parents in Madrid, Spain.",348.0
,"Paul Frederic Simon (born October 13, 1941 in Newark Heights, New Jersey) is a renowned Jewish American singer and songwriter, receiving Kennedy Center Honors in 2002.",345.0
,President Jimmy Carter appointed Rodham to the board of the Legal Services Corporation in 1978.,280.0
,"Presley married her first husband Danny Keough on October 3, 1988.",152.0
,"Prior to graduating from Maine South High School, she attended Maine East High School, where she served as class president, a member of the student council, a member of the debating team, and as a member of the National Honor Society.",101.0
197.0,"Prior to his immigration, the family name was spelled Regan.",
,"Rather than retire, Adams would go on to win election as a Democratic-Republican to the House of Representatives beginning with the 22nd Congress, serving from March 4, 1831, until his death.",43.0
202.0,Reagan developed an early gift for storytelling and acting.,
205.0,Reagan smoothly improvised a fictional play-by-play (in which hitters on both teams fouled off pitches) until the wire was restored.,
200.0,"Reagan tried repeatedly to go overseas for combat duty, but was turned down because of his astigmatism.",
201.0,"Reagan was reelected in a landslide in the 1984 presidential election, defeating Carter's Vice President Walter Mondale by winning 49 of 50 states and receiving nearly 60 percent of the popular vote.",
,Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.,4.0
,Reynolds was inexperienced and did not know how to tap dance.,114.0
,"Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.",5.0
,"Robert Brown (July 23, 1921 - November 11, 2003) was a British actor best known for his portrayal of M in the James Bond movies, succeeding Bernard Lee, who passed away in 1981.",306.0
,"Robert Emerson 'Bob' Clampett (May 8, 1913–May 4, 1984) was an animator, producer, director, and puppeteer best known for his work on the Looney Tunes series of cartoons from Warner Bros. and the television show Time for Beany.",237.0
,"Robert Henry Dee (born May 18, 1933 in Quincy, Massachusetts) is a former three-sport letterman at Holy Cross College who was one of the first players signed by the Boston Patriots in 1960.",46.0
,"Robert Koldewey (September 10, 1855 – February 4, 1925) was a German architect and archaeologist, famous for his discovery of the Hanging Gardens of Babylon in modern day Iraq.",298.0
,"Robert Strange McNamara (born June 9, 1916) is an American business executive and a former United States Secretary of Defense.",214.0
